age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,synthetic_customer_id,customer_segment,age_group,income_tier,campaign_month_num,load_timestamp,source_file,record_hash
35,0,0,1,0,0,0,0,0,30,5,186,6,-1,0,3,0,0,1,1,2,7,2025-07-07 19:27:42.669,0,2692
35,0,0,1,0,0,0,1,0,14,5,245,2,-1,0,3,0,1,1,1,2,7,2025-07-07 19:27:42.669,0,2692
36,0,0,2,0,125,1,0,2,26,8,172,1,-1,0,3,0,9,1,1,2,5,2025-07-07 19:27:42.669,0,7022
36,0,0,1,0,246,1,0,2,16,8,206,2,-1,0,3,0,10,1,1,2,5,2025-07-07 19:27:42.669,0,1939
38,0,0,1,1,0,0,1,0,21,5,126,3,-1,0,3,0,22,1,1,2,7,2025-07-07 19:27:42.669,0,5483
38,0,0,1,0,0,1,0,0,21,5,93,1,-1,0,3,0,23,1,1,2,7,2025-07-07 19:27:42.669,0,5483
38,0,0,1,0,0,0,0,2,5,6,56,1,-1,0,3,0,24,1,1,2,6,2025-07-07 19:27:42.669,0,5483
38,0,0,1,0,407,1,1,0,19,1,89,1,-1,0,3,0,28,1,1,2,8,2025-07-07 19:27:42.669,0,2754
38,0,0,1,0,930,1,0,0,5,8,46,1,-1,0,3,0,29,1,1,2,5,2025-07-07 19:27:42.669,0,4679
39,0,0,1,0,1,0,1,0,7,5,281,1,-1,0,3,0,31,1,1,2,7,2025-07-07 19:27:42.669,0,2392
39,0,0,1,0,32,0,1,2,20,6,8,10,-1,0,3,0,33,1,1,2,6,2025-07-07 19:27:42.669,0,933
39,0,0,1,0,83,1,0,0,30,5,69,6,-1,0,3,0,34,1,1,2,7,2025-07-07 19:27:42.669,0,7104
39,0,0,1,0,160,1,0,0,5,1,156,1,-1,0,3,0,36,1,1,2,8,2025-07-07 19:27:42.669,0,8852
39,0,0,1,0,399,1,1,0,14,1,133,2,-1,0,3,0,37,1,1,2,8,2025-07-07 19:27:42.669,0,3290
39,0,0,1,0,765,0,0,2,9,6,155,3,-1,0,3,0,39,1,1,2,6,2025-07-07 19:27:42.669,0,8978
40,0,0,1,0,220,1,0,0,18,8,197,2,-1,0,3,0,41,1,2,2,5,2025-07-07 19:27:42.669,0,554
40,0,0,1,0,221,1,0,2,13,8,154,2,-1,0,3,0,42,1,2,2,5,2025-07-07 19:27:42.669,0,8646
40,0,0,1,0,274,1,1,0,25,5,53,4,-1,0,3,0,43,1,2,2,7,2025-07-07 19:27:42.669,0,2844
41,0,0,1,0,110,1,1,0,5,3,76,2,-1,0,3,0,45,1,2,2,2,2025-07-07 19:27:42.669,0,7378
41,0,0,1,0,322,1,0,2,6,8,87,4,-1,0,3,0,46,1,2,2,5,2025-07-07 19:27:42.669,0,6408
42,0,0,1,0,0,1,0,2,7,8,229,2,-1,0,3,0,53,1,2,2,5,2025-07-07 19:27:42.669,0,6762
43,0,0,1,0,729,1,0,2,30,8,668,2,-1,0,3,0,60,1,2,2,5,2025-07-07 19:27:42.669,0,4732
44,0,0,1,0,21,1,0,0,13,0,681,3,-1,0,3,0,63,1,2,2,4,2025-07-07 19:27:42.669,0,6339
44,0,0,1,0,777,1,0,0,18,8,517,3,350,2,0,0,68,1,2,2,5,2025-07-07 19:27:42.669,0,3195
